WHEAT:	12.2:	2.3:	51.5:
FLOUR OF WHEAT:	10.9:	1.1:	63:
BRAN OF WHEAT:	12.1:	3.1:	21.4:
MACARONI:	11:	1.1:	63.5:
GERM OF WHEAT:	29.1:	10.7:	16.5:
BREAD:	8.2:	1.2:	40.9:
BULGUR WHOLEMEAL:	12.3:	2:	54.2:
PASTRY:	7.4:	17:	56.2:
WHEAT STARCH:	0.5:	0.3:	86.9:
WHEAT GLUTEN:	95:	0:	0:
RICE PADDY:	6:	1.4:	53.3:
RICE HUSKED:	7.5:	1.8:	68.3:
RICE MILLED:	6.7:	0.7:	71.9:
RICE BROKEN:	6.7:	0.7:	71.9:
RICE FLOUR:	6.4:	0.8:	74:
RICE GLUTEN:	95:	0:	0:
RICE STARCH:	0.5:	0.3:	86.9:
BRAN OF RICE:	13.3:	15.8:	21.3:
BARLEY:	11:	1.8:	54.2:
POT BARLEY:	9.6:	1.1:	62:
BARLEY PEARLED:	9:	1.4:	62.6:
BARLEY FLOUR AND GRITS:	9.2:	1.7:	61.1:
MALT OF BARLEY:	13.1:	1.9:	58.1:
MALT EXTRACTS:	6:	0:	75.9:
MAIZE:	9.5:	4.3:	61:
GERM OF MAIZE:	11.1:	38.5:	27.3:
FLOUR OF MAIZE:	8.4:	1.2:	68.3:
MAIZE GLUTEN:	95:	0:	0:
STARCH OF MAIZE:	0.5:	0.3:	86.9:
POP CORN:	9.5:	4.3:	61:
RYE:	11:	1.9:	51:
FLOUR OF RYE:	9:	1.8:	61:
OATS:	13:	7.5:	56.9:
OATS ROLLED:	16:	6.3:	51.1:
MILLET:	9.7:	3:	57.9:
FLOUR OF MILLET:	9.7:	3:	57.9:
SORGHUM:	10.1:	3.3:	57.4:
FLOUR OF SORGHM:	10.1:	3.3:	57.4:
BUCKWHEAT:	11:	2:	53.5:
FLOUR OF BUCKWHEAT:	6.4:	1.2:	68.2:
SUGAR, NONCENTRIFUGAL:	1:	0:	83.3:
MOLASSES:	0:	0:	56.6:
MAPLE SUGAR:	0:	0:	84.9:
SUGAR AND SYRUP NES:	0:	0:	75.6:
SUGAR CONFECTIONERY:	0:	0:	75.6:
SUGARS FLAVOURED:	0:	0:	75.6:
GLUCOSE AND DEXTROSE:	0:	0:	89.8:
LACTOSE:	0:	0:	94.4:
ISOGLUCOSE:	0:	0:	77.6:
FRUCTOSE CHEMICAL:	0:	0:	91.5:
OTHER FRUCTOSE:	0.3:	0:	72:
MALTOSE CHEMICAL:	0:	0:	91.5:
HONEY:	0.4:	0:	71.8:
BEANS, DRY:	22.1:	1.7:	31.3:
BROAD BEANS DRY:	23.4:	2:	28.6:
